pergunta;resposta
Minha encomenda está em fiscalização aduaneira. Quanto tempo demora e o que fazer?;"A maioria das encomendas é liberada pela Receita Federal no mesmo dia em que são submetidas à fiscalização, exceto se houver:

• fiscalização de outros órgãos (Anvisa, Ibama, Exército, etc.);
• exigências fiscais. Nesse caso, o prazo dependerá do destinatário da encomenda atender ao que foi solicitado.

A Receita pode abrir qualquer volume na entrada ou saída do país.

As exigências devem ser cumpridas no prazo de 30 (trinta) dias, caso contrário a encomenda poderá ser devolvida ao país de origem ou declarada abandonada.

Se a sua encomenda está em fiscalização, a transportadora será responsável pela comunicação de exigências, orientação e entrega após o trabalho da Receita Federal ser concluído. 

Após a fiscalização e o pagamento dos tributos, o prazo de entrega depende do frete contratado. 

Para consultar a situação da encomenda e verificar se existem pendências, entre em contato com a empresa contratada. 

<a href='https://cas.correios.com.br/login' target='_blank' >Clique aqui, se sua encomenda foi transportada pelos Correios</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas de courier habilitadas e o site de cada uma</a>.
                                                                                                                            
<a href='https://www.gov.br/receitafederal/pt-br/assuntos/noticias/2021/marco/receita-federal-faz-alerta-sobre-fraudes-envolvendo-o-nome-da-instituicao' >Cuidado com golpes</a>: o pagamento de impostos não é feito por transferência bancária ou depósito em conta.

Veja <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Conferencia' >como é feita a conferência aduaneira</a>."
Por que minha encomenda será fiscalizada se não veio do exterior?;"A fiscalização de encomendas Postais Internacionais ocorre apenas em São Paulo, Rio de Janeiro e Curitiba.

Entretanto, encomendas Nacionais ou nacionalizadas podem ser fiscalizadas em qualquer região do país. Caso sua encomenda nacional esteja em fiscalização, <a href='https://www.correios.com.br/falecomoscorreios/central-de-atendimento' target='_blank' >entre em contato com os Correios</a> para mais informações.

Fique atento: Alguns sites nacionais também fazem vendas internacionais. "
Encomenda estava em fiscalização aduaneira com exigência ao destinatário não atendida. ;"Se você não enviou as informações pedidas pela fiscalização, sua encomenda pode receber pena de perdimento. 

Entre em contato com a transportadora para saber se você pode solicitar a retomada de despacho.

<a href='https://cas.correios.com.br/login' target='_blank' >Clique aqui, se sua encomenda foi transportada pelos Correios</a>.

Caso tenha sido transportada por outra empresa, consulte <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >a relação de empresas transportadoras habilitadas e o site de cada uma</a>."
Objeto abandonado;"Se você perdeu os prazos de pagamento e atendimento às exigências e sua encomenda não está em situação de Devolução, ocorre o Abandono.

Casos de Abandono da encomenda:

• abandonada pelo decurso do prazo de permanência em recinto alfandegado;
• abandonada em virtude de instruções do remetente, quando não puder ser entregue ao destinatário;
• abandonada caso não autorizada a devolução pela RFB, após 30 dias:

	• da liberação, quando não foi efetuado o pagamento dos tributos ou multas devidos pelo destinatário;
	• da exigência fiscal, sem atendimento pelo destinatário;
	• da chegada ou do cancelamento da Declaração de Importação de encomenda (DIR) para despacho pelo Siscomex Importação, sem o registro da respectiva Declaração Simplificada de Importação (DSI) ou Declaração de Importação (DI).

O ABANDONO da mercadoria pode levar à aplicação da pena de perdimento, a depender da instrução dada pelo remetente no documento postal."
Penalidades nas encomendas internacionais ;"No caso das encomendas internacionais, são frequentes as seguintes penalidades (aplicáveis separada ou cumulativamente):

• multas;
• perdimento de mercadoria; e
• perdimento de moeda.

Pode ser aplicada a Pena de perdimento nos casos de:

• Mercadoria abandonada;
• Falsa declaração de conteúdo;
• Mercadoria falsificada;
• Mercadoria atentatória à moral, aos bons costumes, à saúde ou à ordem pública;
• Documento falsificado, ou adulterado, entre outros.

Para saber mais sobre os casos de perdimento de mercadorias, consulte o tópico <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Infracoes_e_penalidades' >Infrações e Penalidades</a> do Manual Aduaneiro no site da Receita Federal."
Vou pagar imposto pela bagagem que veio por encomenda?;"Para ser considerada bagagem desacompanhada, a encomenda deve:

• vir de local onde você esteve ou morou e
• chegar ao país 3 meses antes ou até 6 meses depois da sua chegada.

Não será cobrado imposto de bens integrantes de bagagem desacompanhada nos casos de:

• retorno de bens nacionais ou nacionalizados;
• roupas e bens de uso pessoal, usados, livros, folhetos e periódicos;

Nâo será cobrado imposto de bens integrantes de mudança para o Brasil de:

• móveis e outros bens de uso doméstico;
• ferramentas, máquinas e instrumentos necessários para exercer a profissão, sujeita à prévia comprovação da atividade desenvolvida pelo viajante.

A isenção é válida para um período acima de 1 ano de residência no exterior.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/viagens-internacionais/guia-do-viajante/entrada-no-brasil/mudanca-brasil' >Clique aqui para saber mais sobre isenção em caso de mudança para o Brasil</a>.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao#bagagem' >E aqui você encontra mais informações sobre bagagem desacompanhada</a>.

Se você foi cobrado, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >saiba mais sobre o pedido de revisão</a>."
Serei taxado ao trazer meus objetos esquecidos no exterior?;"<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao#bagagem' >Clique aqui e veja se o objeto se enquadra em algum tipo de isenção</a>.

Caso a encomenda seja tributada, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Procedimentos#Revisao' > você pode entrar com pedido de revisão</a>, antes do pagamento dos tributos, anexando toda a documentação que comprove a condição de bagagem."
Que documentos devo apresentar para ter a isenção de bagagem desacompanhada na encomenda internacional?;"Para ter reconhecida a <b>isenção para bagagem desacompanhada de viajantes procedentes do exterior</b>, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P11.3' >veja aqui a lista de documentos que deverá apresentar, de acordo com a situação da viagem</a>.  

Caso a bagagem tenha vindo pelos Correios, <a href='https://www.correios.com.br/receber/encomenda/internacional' target='_blank' >apresente os documentos no site dos Correios – módulo Minhas Importações</a>  .  

Se a bagagem veio por encomenda expressa, veja com a empresa de transporte contratada como apresentar os documentos.  

O não atendimento das condições resultará<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/tributacao#RTS' > na utilização das regras gerais do Regime de Tributação Simplificada (RTS)</a> para a mercadoria cujo valor não ultrapasse US$ 3.000,00 (três mil dólares)."
A Receita cobra imposto sobre documentos?;"Não há cobrança de imposto sobre documentos. No entanto, se a encomenda incluir outros itens, estes poderão ser tributados. 

Se a descrição do conteúdo for genérica, a encomenda poderá ser tributada integralmente ou devolvida ao exterior.

Se a sua encomenda continha apenas documentos e houve cobrança de imposto, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >veja aqui como pedir Revisão</a>."
Quais os casos de isenção nas encomendas internacionais?;"O Imposto de Importação não é cobrado nos casos de:  

- Medicamentos importados por pessoa física.
- Amostras sem valor comercial.
- Bens de uso ou consumo pessoal, usados (bagagem desacompanhada). 
- Bens no valor de até US$ 50,00 (cinquenta dólares), <b>via Correios</b>, desde que o remetente e o destinatário sejam pessoas físicas e não exista finalidade comercial.Esta isenção não vale para encomenda expressa (courier).
- Casos específicos da Administração Pública e Organismos Internacionais.  

Em geral, compras efetuadas em sites internacionais (comércio eletrônico) não são isentas de imposto, independente do valor, exceto se a mercadoria for imune ou isenta.   

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao' >Veja no site da Receita Federal todos casos de isenção e imunidade</a>.  

Se você foi cobrado, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/Perguntas_e_Respostas#P8.1' >clique aqui para se informar sobre o pedido de revisão</a>."
Onde consigo orientações sobre importação através de encomenda internacional?;"Orientações gerais sobre importação de encomendas internacionais podem ser obtidas no  <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa' >Manual de encomendas Internacionais</a> e com as transportadoras:

- <a href='https://www.correios.com.br/receber/encomenda/saiba-mais-internacional' target='_blank' >Correios</a>.
- <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/empresas-autorizadas-a-operar-na-modalidade-remessa-expressa' >Empresas de Courier habilitadas a operar com encomenda expressa</a>."
O que são encomendas internacionais?;"encomendas internacionais são bens ou documentos que chegam ou saem do Brasil transportados:

- pelos Correios, que são as encomendas postais; 
- por empresas privadas de transporte expresso internacional, também conhecidas como empresas de courier, que são as encomendas expressas.  

Para saber mais sobre os aspectos gerais de encomendas Internacionais, as declarações, impostos e procedimentos, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa' >consulte o Manual de Remessas Internacionais</a>."" "
Outros assuntos que não se enquadram em encomendas internacionais;"Não consegui entender, poderia perguntar novamente?

Tente usar outras palavras ou dar mais detalhes.

Lembre-se que sei responder apenas sobre encomendas Internacionais e somente temas que são atribuição da Receita Federal."
Assédio;Você está escrevendo de uma forma desrespeitosa ou preconceituosa. Todos devem ser tratados com respeito e educação. Mude seu jeito de falar e depois me chame.
precisa algum cadastro na receita pra importar por encomenda?;"""Não é necessário nenhum cadastro prévio na Receita, nem mesmo habilitação ou DTE, para utilização dos Regimes de tributação:

 - Simplificada, que permite o pagamento do imposto de importação na alíquota única de 60%, na importação de bens contidos em encomenda internacional. 
- Especial, que pode ser usado nos casos de bagagem que chegam ao país como encomenda internacional.   

Entretanto, se o regime comum de importação for aplicado, <a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/habilitacao' > devem ser observadas as regras gerais do despacho aduaneiro e seus pré-requisitos</a>.

Em alguns casos, pode ser necessária a autorização de outros órgãos. 

Sobre a necessidade de algum cadastro nos correios ou transportadora contratada, verifique no atendimento daquelas empresas."" "
presentes são isentos?;"""É indiferente, para a cobrança de imposto, se o bem foi recebido a título de presente. 

Se a mercadoria não se enquadrar em algum caso de isenção, a encomenda não será isenta apesar de ser um presente.

<a href='https://www.gov.br/receitafederal/pt-br/assuntos/aduana-e-comercio-exterior/manuais/remessas-postal-e-expressa/topicos/nao-tributacao' >Verifique aqui os casos de isenção</a>."" "
Olá!;Olá! Como posso ajudar?
Todas as encomendas internacionais são selecionadas para conferência?;"""Algumas encomendas podem não ter sido selecionadas para conferência pelas autoridades da Receita Federal.   

Porém, em até 5 anos, pode haver revisão aduaneira para apurar a regularidade da importação e, se for o caso, cobrado o imposto devido."" "
